item,ingredient,amount,unit,amount_mg,component_id,match_score,match_method
DE1095,COBRE,125.0,mcg,0.125,COMP_E388F25D01B8,100.0,exact_es
DE1095,MANGANESO,1.25,mcg,0.00125,COMP_5FCBE278ABF3,100.0,exact_translated
DE1104,COMPLEJO CITRICO BIOFLAVONOIDE,5.0,mg,5.0,COMP_5068EA63273D,100.0,exact_es
DE1104,ACIDO ASCORBICO,117.895,mg,117.895,COMP_67B16EEFC42F,100.0,exact_es
DE1129,COLAGENO,500.0,mg,500.0,COMP_A9EF90B73700,100.0,exact_es
DE1138,ZINC,15.0,mg,15.0,COMP_723DBC80CC4E,100.0,exact_es
DE1139,POR DOSIS,6.0,g,6000.0,,0.0,noise
DE1139,CARBONATO DE CALCIO 1,250.0,mg,250.0,COMP_275450118D60,100.0,exact_translated
DE1159,LUTEINA,30.0,mg,30.0,COMP_C873A4B5C00A,100.0,manual_alias
DE1163,UBIDECARENONA,50.0,mg,50.0,,0.0,
DE1174,LUTEINA,6.0,mg,6.0,COMP_C873A4B5C00A,100.0,manual_alias
DE1174,VITAMINA C,60.0,mg,60.0,COMP_1BCB25859985,100.0,exact_translated
DE1174,ACETATO DE VITAMINA E,30.0,mg,30.0,COMP_D4790F9775EF,100.0,exact_translated
DE1174,ZINC,15.0,mg,15.0,COMP_723DBC80CC4E,100.0,exact_es
DE1174,COBRE,2.0,mg,2.0,COMP_E388F25D01B8,100.0,exact_es
DE1186,POR OTROS,100.0,ml,,,0.0,noise
DE1186,CASEINA ACIDA,5.8,g,5800.0,,0.0,
DE1186,CLORURO DE MAGNESIO,387.5,mg,387.5,COMP_83336712C554,100.0,exact_translated
DE1186,FOSFATO TRIBASICO DE CALCIO ANHIDRO,310.8,mg,310.8,COMP_DF53BB0FF023,100.0,exact_es
DE1186,CITRATO DE SODIO,193.8,mg,193.8,COMP_09C95935BD2C,100.0,exact_es
DE1186,FOSFATO DIBASICO DE POTASIO,132.7,mg,132.7,COMP_D022F9B54612,100.0,exact_es
DE1186,CITRATO DE POTASIO,127.8,mg,127.8,COMP_232DFD13C010,100.0,exact_es
DE1186,ACIDO ASCORBICO,77.4,mg,77.4,COMP_67B16EEFC42F,100.0,exact_es
DE1186,CLORURO DE COLINA,69.5,mg,69.5,COMP_A204C673A9A2,100.0,exact_translated
DE1186,SULFATO DE ZINC,7.4,mg,7.4,COMP_723DBC80CC4E,100.0,exact_es
DE1186,SULFATO FERROSO,6.5,mg,6.5,COMP_573FD8D69189,100.0,manual_alias
DE1186,SULFATO DE MANGANESO,1.8,mg,1.8,COMP_5FCBE278ABF3,100.0,exact_translated
DE1186,SACAROSA,5.6,g,5600.0,COMP_70EC247D9767,100.0,exact_es
DE1186,SULFATO DE COBRE,998.6,mg,998.6,COMP_E388F25D01B8,100.0,exact_es
DE1186,CLORURO DE CROMO (III),59.7,mcg,0.0597,COMP_252C51860327,100.0,manual_alias
DE1186,MOLIBDATO DE SODIO,48.7,mcg,0.04870000000000001,COMP_526CEFBDED30,100.0,manual_alias
DE1186,SELENATO DE SODIO,20.9,mcg,0.0209,COMP_781B4EA1D853,100.0,manual_alias
DE1186,ALFA -ACETATO DE TOCOFEROL,7.2,mg,7.2,COMP_D4790F9775EF,100.0,manual_alias
DE1186,FILOQUINONA,7.3,mcg,0.0073,COMP_5F0C4DCA018F,100.0,exact_es
DE1186,VITAMINA D3,1.2,mcg,0.0012,COMP_94DFE28A9A5C,100.0,exact_translated
DE1186,TAURINA,19.0,mg,19.0,COMP_0D2B15E9F9EE,100.0,exact_es
DE1186,CARNITINA,19.0,mg,19.0,COMP_0987F386BB65,100.0,exact_translated
DE1186,NIACINAMIDA,5.4,mg,5.4,COMP_7A51909809FD,100.0,manual_alias
DE1186,ACEITE DE CANOLA,5.3,g,5300.0,COMP_FCF0EA14FCA0,100.0,exact_es
DE1186,PANTOTENATO DE CALCIO,3.5,mg,3.5,COMP_CCEF1C481D8D,100.0,exact_translated
DE1186,CLORHIDRATO DE TIAMINA,892.1,mcg,0.8921,COMP_4F4F134A6B55,100.0,exact_translated
DE1186,CLORHIDRATO DE PIRIDOXINA,859.0,mcg,0.859,COMP_B1D26385CE00,90.9090909090909,fuzzy_translated
DE1186,RIBOFLAVINA,697.9,mcg,0.6979,COMP_586F3B3DE0F3,100.0,manual_alias
DE1186,ACIDO FOLICO,144.5,mcg,0.1445,COMP_A9136ADF22F7,100.0,manual_alias
DE1186,BIOTINA,105.0,mcg,0.105,COMP_641FDABDC956,100.0,manual_alias
DE1186,CIANOCOBALAMINA,2.4,mcg,0.0024,COMP_06B36D3A8FF3,100.0,manual_alias
DE1186,CLORURO DE SODIO,7.9,mg,7.9,COMP_AFF3B61AB344,100.0,exact_es
DE1186,BETACAROTENO,2.0,mg,2.0,,0.0,
DE1186,PALMITATO DE VITAMINA A,492.6,mcg,0.49260000000000004,COMP_90C4121BAE0C,100.0,manual_alias
DE1186,MALTODEXTRINA,4.8,g,4800.0,COMP_616589A7F2DA,100.0,manual_alias
DE1186,IODURO DE POTASIO,25.3,mcg,0.0253,COMP_22DA46FADFFD,100.0,manual_alias
DE1186,TRIGLICERIDOS DE CADENA MEDIA,1.9,g,1900.0,COMP_4772744D7755,100.0,exact_es
DE1186,ACEITE DE MAIZ,1.3,g,1300.0,COMP_B746EA737D1B,100.0,exact_es
DE1186,CASEINATO DE CALCIO,888.4,mg,888.4,COMP_0186B930B477,100.0,exact_es
DE1186,CITRATO DE POTASIO ANHIDRO,705.8,mg,705.8,,0.0,
DE1186,ACEITE VEGETAL,666.8,mg,666.8,,0.0,
DE1188,DL-ALFA ACETATO DE TOCOFEROL,400.0,mg,400.0,COMP_D4790F9775EF,100.0,manual_alias
DE1188,CLORHIDRATO DE PIRIDOXINA,50.0,mg,50.0,COMP_B1D26385CE00,90.9090909090909,fuzzy_translated
DE1189,LECITINA 1,200.0,mg,200.0,COMP_8EC671694027,100.0,exact_es
DE1195,CALCIO,300.0,mg,300.0,COMP_275450118D60,100.0,exact_translated
DE1195,VITAMINA D3,100.0,ui,,COMP_94DFE28A9A5C,100.0,exact_translated
DE1195,OXIDO DE ZINC,9.333,mg,9.333,COMP_723DBC80CC4E,100.0,exact_es
DE1203,POR UNIDADES DE TURBIDEZ DE LA FORMACINA - ARGININA,2.0,g,2000.0,,0.0,
DE1203,GLICINA,1.0,g,1000.0,COMP_37A112F48957,100.0,exact_es
DE1203,ACIDO ASCORBICO,60.0,mg,60.0,COMP_67B16EEFC42F,100.0,exact_es
DE1203,SULFATO DE ZINC,15.0,mg,15.0,COMP_723DBC80CC4E,100.0,exact_es
DE1203,PANTOTENATO DE CALCIO,6.0,mg,6.0,COMP_CCEF1C481D8D,100.0,exact_translated
DE1203,PIRIDOXAL 5-FOSFATO,2.0,mg,2.0,COMP_14223AB15C02,90.0,fuzzy_translated
DE1203,ACIDO FOLICO,200.0,mcg,0.2,COMP_A9136ADF22F7,100.0,manual_alias
DE1203,CIANOCOBALAMINA,1.0,mcg,0.001,COMP_06B36D3A8FF3,100.0,manual_alias
DE1203,ACIDO MALICO,2.0,g,2000.0,,0.0,
DE1203,GLUCOSAMINA,2.0,g,2000.0,COMP_41BF6A84967F,100.0,exact_es
DE1204,ACIDO ASCORBICO,30.0,mg,30.0,COMP_67B16EEFC42F,100.0,exact_es
DE1204,SULFATO DE ZINC,20.0,mg,20.0,COMP_723DBC80CC4E,100.0,exact_es
DE1204,SELENITO DE SODIO,0.02,mg,0.02,COMP_781B4EA1D853,100.0,manual_alias
DE1204,PIRIDOXINA,1.0,mg,1.0,COMP_14223AB15C02,100.0,manual_alias
DE1204,ACIDO FOLICO,100.0,mcg,0.1,COMP_A9136ADF22F7,100.0,manual_alias
DE1204,CIANOCOBALAMINA,0.5,mg,0.5,COMP_06B36D3A8FF3,100.0,manual_alias
DE1204,ACETATO DE VITAMINA E,5.0,mg,5.0,COMP_D4790F9775EF,100.0,exact_translated
DE1204,ARGININA,50.0,mg,50.0,COMP_984D98F1A15A,88.88888888888889,fuzzy_translated
DE1204,CARNITINA,40.0,mg,40.0,COMP_0987F386BB65,100.0,exact_translated
DE1226,CARBONATO DE CALCIO 1,250.0,mg,250.0,COMP_275450118D60,100.0,exact_translated
DE1226,COLECALCIFEROL,4.0,mg,4.0,COMP_94DFE28A9A5C,100.0,manual_alias
DE1230,VITAMINA C 1,0.0,mg,0.0,COMP_1BCB25859985,100.0,exact_translated
DE1232,GLUTAMINA,66.67,g,66670.0,COMP_A0A4A770D42F,100.0,manual_alias
DE1234,MALTODEXTRINA,65.18,g,65180.00000000001,COMP_616589A7F2DA,100.0,manual_alias
DE1234,TREONINA,0.68,g,680.0,COMP_BA5D26AD615C,90.0,fuzzy_translated
DE1234,HISTIDINA,0.56,g,560.0,COMP_093532B7FA53,100.0,exact_es
DE1234,METIONINA,0.23,g,230.0,COMP_2F771F3347CF,90.9090909090909,fuzzy_translated
DE1234,SERINA,0.45,g,450.0,COMP_4409F4404D82,85.71428571428572,fuzzy_translated
DE1234,TRIPTOFANO,0.16,g,160.0,COMP_77DD0D7D086D,100.0,exact_es
